# name	longitude	latitude
Shanghai	121.47	31.23
Bombay	72.82	18.96
Karachi	67.01	24.86
Buenos Aires	-58.37	-34.61
Delhi	77.21	28.67
Istanbul	29	41.1
Manila	120.97	14.62
Sao Paulo	-46.63	-23.53
Moscow	37.62	55.75
Dhaka	90.39	23.7
Soul	126.99	37.56
Lagos	3.35	6.5
Kinshasa	15.32	-4.31
Tokyo	139.77	35.67
Mexico City	-99.14	19.43
Jakarta	106.83	-6.18
New York	-73.94	40.67
Tehran	51.43	35.67
Cairo	31.25	30.06
Lima	-77.05	-12.07
Peking	116.4	39.93
London	-0.1	51.52
Bogota	-74.09	4.63
Lahore	74.35	31.56
Rio de Janeiro	-43.2	-22.91
Bangkok	100.5	13.73
Bagdad	44.44	33.33
Bangalore	77.56	12.97
Santiago	-70.64	-33.46
Calcutta	88.36	22.57
Singapore	103.85	1.3
Toronto	-79.38	43.65
Rangoon	96.15	16.79
Ibadan	3.93	7.38
Riyadh	46.77	24.65
Madras	80.27	13.09
Chongqing	106.58	29.57
Ho Chi Minh City	106.69	10.78
Xian	108.9	34.27
Wuhan	114.27	30.58
Alexandria	29.95	31.22
Saint Petersburg	30.32	59.93
Hyderabad	78.48	17.4
Chengdu	104.07	30.67
Abidjan	-4.03	5.33
Ankara	32.85	39.93
Ahmadabad	72.58	23.03
Los Angeles	-118.41	34.11
Tianjin	117.2	39.13
Chattagam	91.81	22.33
Sydney	151.21	-33.87
Yokohama	139.62	35.47
Melbourne	144.96	-37.81
Shenyang	123.45	41.8
Cape Town	18.46	-33.93
Berlin	13.38	52.52
Pusan	129.03	35.11
Montreal	-73.57	45.52
Harbin	126.65	45.75
Durban	30.99	-29.87
Gizeh	31.21	30.01
Nanjing	118.78	32.05
Casablanca	-7.62	33.6
Pune	73.84	18.53
Addis Abeba	38.74	9.03
Pyongyang	125.75	39.02
Surat	72.82	21.2
Madrid	-3.71	40.42
Guangzhou	113.25	23.12
Jiddah	39.17	21.5
Kanpur	80.33	26.47
Nairobi	36.82	-1.29
Jaipur	75.8	26.92
Dar es Salaam	39.28	-6.82
Salvador	-38.5	-12.97
Chicago	-87.68	41.84
Taiyuan	112.55	37.87
al-Mawsil	43.14	36.34
Faisalabad	73.11	31.41
Changchun	125.35	43.87
Izmir	27.15	38.43
Taibei	121.45	25.02
Osaka	135.5	34.68
Lakhnau	80.92	26.85
Kiev	30.52	50.43
Luanda	13.24	-8.82
Inchon	126.64	37.48
Rome	12.5	41.89
Dakar	-17.48	14.72
Belo Horizonte	-43.94	-19.92
Fortaleza	-38.59	-3.78
Mashhad	59.57	36.27
Maracaibo	-71.66	10.73
Kabul	69.17	34.53
Santo Domingo	-69.91	18.48
Taegu	128.6	35.87
Brasilia	-47.91	-15.78
Umm Durman	32.48	15.65
Nagpur	79.08	21.16
Surabaya	112.74	-7.24
Kano	8.52	12
Medellin	-75.54	6.29
Accra	-0.2	5.56
Nagoya	136.91	35.15
Benin	5.62	6.34
Shijiazhuang	114.48	38.05
Guayaquil	-79.9	-2.21
Changsha	112.97	28.2
Houston	-95.39	29.77
Khartoum	32.52	15.58
Paris	2.34	48.86
Cali	-76.52	3.44
Algiers	3.04	36.77
Jinan	117	36.67
Havanna	-82.39	23.13
Tashkent	69.3	41.31
Dalian	121.65	38.92
Jilin	126.55	43.85
Nanchang	115.88	28.68
Zhengzhou	113.67	34.75
Vancouver	-123.13	49.28
Johannesburg	28.04	-26.19
Bayrut	35.5	33.89
Douala	9.71	4.06
Jiulong	114.17	22.32
Caracas	-66.93	10.54
Kaduna	7.44	10.52
Bucharest	26.1	44.44
Ecatepec	-99.05	19.6
Sapporo	141.34	43.06
Port Harcourt	7.01	4.81
Hangzhou	120.17	30.25
Rawalpindi	73.04	33.6
San'a	44.21	15.38
Conakry	-13.67	9.55
Curitiba	-49.29	-25.42
al-Basrah	47.82	30.53
Brisbane	153.02	-27.46
Xinyang	114.07	32.13
Medan	98.67	3.59
Indore	75.86	22.72
Manaus	-60.02	-3.12
Kumasi	-1.63	6.69
Hamburg	10	53.55
Rabat	-6.84	34.02
Minsk	27.55	53.91
Patna	85.13	25.62
