Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Date,Min Gap,Clash Action,Spread
,,,,,,,,,,,,,,
USD-DSCON,1M,OG-Ticker,USD-OIS-1M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1M,,,,
USD-DSCON,2M,OG-Ticker,USD-OIS-2M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,2M,,,,
USD-DSCON,3M,OG-Ticker,USD-OIS-3M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,3M,,,,
USD-DSCON,6M,OG-Ticker,USD-OIS-6M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,6M,,,,
USD-DSCON,9M,OG-Ticker,USD-OIS-9M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,9M,,,,
USD-DSCON,1Y,OG-Ticker,USD-OIS-1Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,1Y,,,,
USD-DSCON,18M,OG-Ticker,USD-OIS-18M,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,18M,,,,
USD-DSCON,2Y,OG-Ticker,USD-OIS-2Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,2Y,,,,
USD-DSCON,3Y,OG-Ticker,USD-OIS-3Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,3Y,,,,
USD-DSCON,4Y,OG-Ticker,USD-OIS-4Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,4Y,,,,
USD-DSCON,5Y,OG-Ticker,USD-OIS-5Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,5Y,,,,
USD-DSCON,6Y,OG-Ticker,USD-OIS-6Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,6Y,,,,
USD-DSCON,7Y,OG-Ticker,USD-OIS-7Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,7Y,,,,
USD-DSCON,8Y,OG-Ticker,USD-OIS-8Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,8Y,,,,
USD-DSCON,9Y,OG-Ticker,USD-OIS-9Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,9Y,,,,
USD-DSCON,10Y,OG-Ticker,USD-OIS-10Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,10Y,,,,
,,,,,,,,,,,
USD-LIBOR3M,3M,OG-Ticker,USD-Fixing-3M,MarketValue,FIX,USD-LIBOR-3M,,,,,
USD-LIBOR3M,6M,OG-Ticker,USD-FRA-3Mx6M,MarketValue,FRA,USD-LIBOR-3M,3Mx6M,,,,
USD-LIBOR3M,9M,OG-Ticker,USD-FRA-6Mx9M,MarketValue,FRA,USD-LIBOR-3M,6Mx9M,,,,
USD-LIBOR3M,1Y,OG-Ticker,USD-IRS3M-1Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,1Y,,,,
