Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Date,Min Gap,Clash Action,Spread
,,,,,,,,,,,
USD-Disc,ON,OG-Ticker,USD-DEP-ON,MarketValue,DEP,USD-ShortDeposit-T0,1D,,,,
USD-Disc,TN,OG-Ticker,USD-DEP-TN,MarketValue,DEP,USD-ShortDeposit-T1,1D,,,,
USD-Disc,1W,OG-Ticker,USD-DEP-1W,MarketValue,DEP,USD-ShortDeposit-T2,1W,,,,
USD-Disc,1M,OG-Ticker,USD-OIS-1M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1M,,,,
USD-Disc,2M,OG-Ticker,USD-OIS-2M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,2M,,,,
USD-Disc,3M,OG-Ticker,USD-OIS-3M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,3M,,,,
USD-Disc,6M,OG-Ticker,USD-OIS-6M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,6M,,,,
USD-Disc,9M,OG-Ticker,USD-OIS-9M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,9M,,,,
USD-Disc,1Y,OG-Ticker,USD-OIS-1Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,1Y,,,,
USD-Disc,2Y,OG-Ticker,USD-OIS-2Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,2Y,,,,
USD-Disc,3Y,OG-Ticker,USD-OIS-3Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,3Y,,,,
USD-Disc,4Y,OG-Ticker,USD-OIS-4Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,4Y,,,,
USD-Disc,5Y,OG-Ticker,USD-OIS-5Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,5Y,,,,
USD-Disc,6Y,OG-Ticker,USD-OIS-6Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,6Y,,,,
USD-Disc,7Y,OG-Ticker,USD-OIS-7Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,7Y,,,,
USD-Disc,8Y,OG-Ticker,USD-OIS-8Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,8Y,,,,
USD-Disc,9Y,OG-Ticker,USD-OIS-9Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,9Y,,,,
USD-Disc,10Y,OG-Ticker,USD-OIS-10Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,10Y,,,,
,,,,,,,,,,,
USD-3ML,3M,OG-Ticker,USD-Fixing-3M,MarketValue,FIX,USD-LIBOR-3M,,,,,
USD-3ML,6M,OG-Ticker,USD-FRA-3Mx6M,MarketValue,FRA,USD-LIBOR-3M,3Mx6M,,,,
USD-3ML,9M,OG-Ticker,USD-FRA-6Mx9M,MarketValue,FRA,USD-LIBOR-3M,6Mx9M,,,,
USD-3ML,1Y,OG-Ticker,USD-IRS3M-1Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,1Y,,,,
# the next node is invalid and will be dropped as it is before the 1Y swap
USD-3ML,BAD,OG-Future,Ibor-USD-LIBOR-3M-Seq3,SettlementPrice,IFU,USD-LIBOR-3M-Quarterly-IMM,0D+3,,7D,DropThis,
USD-3ML,15M,OG-Future,Ibor-USD-LIBOR-3M-Seq5,SettlementPrice,IFU,USD-LIBOR-3M-Quarterly-IMM,0D+5,,7D,DropThis,
USD-3ML,18M,OG-Future,Ibor-USD-LIBOR-3M-Dec16,SettlementPrice,IFU,USD-LIBOR-3M-Quarterly-IMM,Dec16,,7D,DropThis,
USD-3ML,2Y,OG-Ticker,USD-IRS3M-2Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,2Y,,,,
USD-3ML,3Y,OG-Ticker,USD-IRS3M-3Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,3Y,,,,
USD-3ML,4Y,OG-Ticker,USD-IRS3M-4Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,4Y,,,,
USD-3ML,5Y,OG-Ticker,USD-IRS3M-5Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,5Y,,,,
USD-3ML,7Y,OG-Ticker,USD-IRS3M-7Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,7Y,,,,
USD-3ML,10Y,OG-Ticker,USD-IRS3M-10Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,10Y,,,,
USD-3ML,12Y,OG-Ticker,USD-IRS3M-12Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,12Y,,,,
USD-3ML,15Y,OG-Ticker,USD-IRS3M-15Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,15Y,,,,
USD-3ML,20Y,OG-Ticker,USD-IRS3M-20Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,20Y,,,,
USD-3ML,25Y,OG-Ticker,USD-IRS3M-25Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,25Y,,,,
USD-3ML,30Y,OG-Ticker,USD-IRS3M-30Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,30Y,,,,
