Valuation Date,Symbology,Ticker,Field Name,Value
,,,,
2016-02-29,OG-Ticker,EUR-ON,MarketValue,-0.0019
2016-02-29,OG-Ticker,EUR-TN,MarketValue,-0.00235
2016-02-29,OG-Ticker,EUR-OIS-1M,MarketValue,-0.00315
2016-02-29,OG-Ticker,EUR-OIS-2M,MarketValue,-0.0034
2016-02-29,OG-Ticker,EUR-OIS-3M,MarketValue,-0.0036
2016-02-29,OG-Ticker,EUR-OIS-6M,MarketValue,-0.004
2016-02-29,OG-Ticker,EUR-OIS-9M,MarketValue,-0.0043
2016-02-29,OG-Ticker,EUR-OIS-1Y,MarketValue,-0.0045
2016-02-29,OG-Ticker,EUR-OIS-2Y,MarketValue,-0.0049
2016-02-29,OG-Ticker,EUR-OIS-3Y,MarketValue,-0.0047
2016-02-29,OG-Ticker,EUR-OIS-4Y,MarketValue,-0.0042
2016-02-29,OG-Ticker,EUR-OIS-5Y,MarketValue,-0.0034
2016-02-29,OG-Ticker,EUR-OIS-6Y,MarketValue,-0.0024
2016-02-29,OG-Ticker,EUR-OIS-7Y,MarketValue,-0.0011
2016-02-29,OG-Ticker,EUR-OIS-8Y,MarketValue,0
2016-02-29,OG-Ticker,EUR-OIS-9Y,MarketValue,0.0011
2016-02-29,OG-Ticker,EUR-OIS-10Y,MarketValue,0.0022
2016-02-29,OG-Ticker,EUR-OIS-15Y,MarketValue,0.0058
2016-02-29,OG-Ticker,EUR-OIS-20Y,MarketValue,0.0075
2016-02-29,OG-Ticker,EUR-OIS-30Y,MarketValue,0.0082
,,,,
2016-02-29,OG-Ticker,EUR-FIX-EURIBOR3M,MarketValue,-0.00205
2016-02-29,OG-Ticker,EUR-FRA-3Mx6M,MarketValue,-0.0031
,,,,
2016-02-29,OG-Ticker,EUR-FIX-EURIBOR6M,MarketValue,-0.00134
2016-02-29,OG-Ticker,EUR-FRA-3Mx9M,MarketValue,-0.00215
2016-02-29,OG-Ticker,EUR-FRA-6Mx12M,MarketValue,-0.0023
2016-02-29,OG-Ticker,EUR-FRA-9Mx15M,MarketValue,-0.00245
2016-02-29,OG-Ticker,EUR-IRS6M-1Y,MarketValue,-0.0019
2016-02-29,OG-Ticker,EUR-IRS6M-2Y,MarketValue,-0.0022
2016-02-29,OG-Ticker,EUR-IRS6M-3Y,MarketValue,-0.0019
2016-02-29,OG-Ticker,EUR-IRS6M-4Y,MarketValue,-0.0012
2016-02-29,OG-Ticker,EUR-IRS6M-5Y,MarketValue,0.0003
2016-02-29,OG-Ticker,EUR-IRS6M-7Y,MarketValue,0.0045
2016-02-29,OG-Ticker,EUR-IRS6M-10Y,MarketValue,0.005
2016-02-29,OG-Ticker,EUR-IRS6M-15Y,MarketValue,0.0083
2016-02-29,OG-Ticker,EUR-IRS6M-20Y,MarketValue,0.0095
2016-02-29,OG-Ticker,EUR-IRS6M-30Y,MarketValue,0.01
,,,,
2016-02-29,OG-Ticker,EUR-BS3M6M-1Y,MarketValue,0.00125
2016-02-29,OG-Ticker,EUR-BS3M6M-2Y,MarketValue,0.00125
2016-02-29,OG-Ticker,EUR-BS3M6M-3Y,MarketValue,0.0013
2016-02-29,OG-Ticker,EUR-BS3M6M-4Y,MarketValue,0.0013
2016-02-29,OG-Ticker,EUR-BS3M6M-5Y,MarketValue,0.00135
2016-02-29,OG-Ticker,EUR-BS3M6M-7Y,MarketValue,0.00125
2016-02-29,OG-Ticker,EUR-BS3M6M-10Y,MarketValue,0.0011
2016-02-29,OG-Ticker,EUR-BS3M6M-15Y,MarketValue,0.0009
2016-02-29,OG-Ticker,EUR-BS3M6M-20Y,MarketValue,0.0007
2016-02-29,OG-Ticker,EUR-BS3M6M-30Y,MarketValue,0.0005
