Valuation Date,Symbology,Ticker,Field Name,Value
,,,,
2015-11-20,OG-Ticker,EUR-ON,MarketValue,-0.0019
2015-11-20,OG-Ticker,EUR-TN,MarketValue,-0.00235
2015-11-20,OG-Ticker,EUR-OIS-1M,MarketValue,-0.0019
2015-11-20,OG-Ticker,EUR-OIS-2M,MarketValue,-0.00235
2015-11-20,OG-Ticker,EUR-OIS-3M,MarketValue,-0.0025
2015-11-20,OG-Ticker,EUR-OIS-6M,MarketValue,-0.0028
2015-11-20,OG-Ticker,EUR-OIS-9M,MarketValue,-0.003
2015-11-20,OG-Ticker,EUR-OIS-1Y,MarketValue,-0.0031
2015-11-20,OG-Ticker,EUR-OIS-2Y,MarketValue,-0.0033
2015-11-20,OG-Ticker,EUR-OIS-3Y,MarketValue,-0.0028
2015-11-20,OG-Ticker,EUR-OIS-4Y,MarketValue,-0.0017
2015-11-20,OG-Ticker,EUR-OIS-5Y,MarketValue,-0.0006
2015-11-20,OG-Ticker,EUR-OIS-6Y,MarketValue,0.0007
2015-11-20,OG-Ticker,EUR-OIS-7Y,MarketValue,0.0021
2015-11-20,OG-Ticker,EUR-OIS-8Y,MarketValue,0.0036
2015-11-20,OG-Ticker,EUR-OIS-9Y,MarketValue,0.0049
2015-11-20,OG-Ticker,EUR-OIS-10Y,MarketValue,0.006
2015-11-20,OG-Ticker,EUR-OIS-15Y,MarketValue,0.0102
2015-11-20,OG-Ticker,EUR-OIS-20Y,MarketValue,0.0122
2015-11-20,OG-Ticker,EUR-OIS-30Y,MarketValue,0.013
,,,,
2015-11-20,OG-Ticker,EUR-FIX-EURIBOR3M,MarketValue,-0.00095
2015-11-20,OG-Ticker,EUR-FRA-3Mx6M,MarketValue,-0.002
2015-11-20,OG-Ticker,EUR-FRA-6Mx9M,MarketValue,-0.0023
2015-11-20,OG-Ticker,EUR-IRS3M-6M,MarketValue,-0.002
2015-11-20,OG-Ticker,EUR-BS3M6M-1Y,MarketValue,0.00115
2015-11-20,OG-Ticker,EUR-BS3M6M-2Y,MarketValue,0.00103
2015-11-20,OG-Ticker,EUR-BS3M6M-3Y,MarketValue,0.00103
2015-11-20,OG-Ticker,EUR-BS3M6M-4Y,MarketValue,0.00106
2015-11-20,OG-Ticker,EUR-BS3M6M-5Y,MarketValue,0.00109
2015-11-20,OG-Ticker,EUR-BS3M6M-7Y,MarketValue,0.00106
2015-11-20,OG-Ticker,EUR-BS3M6M-10Y,MarketValue,0.00092
2015-11-20,OG-Ticker,EUR-BS3M6M-15Y,MarketValue,0.00072
2015-11-20,OG-Ticker,EUR-BS3M6M-20Y,MarketValue,0.00059
2015-11-20,OG-Ticker,EUR-BS3M6M-30Y,MarketValue,0.00043
,,,,
2015-11-20,OG-Ticker,EUR-FIX-EURIBOR6M,MarketValue,-0.00024
2015-11-20,OG-Ticker,EUR-FRA-3Mx9M,MarketValue,-0.00195
2015-11-20,OG-Ticker,EUR-FRA-6Mx12M,MarketValue,-0.0023
2015-11-20,OG-Ticker,EUR-FRA-9Mx15M,MarketValue,-0.00245
2015-11-20,OG-Ticker,EUR-IRS6M-1Y,MarketValue,-0.0023
2015-11-20,OG-Ticker,EUR-IRS6M-2Y,MarketValue,-0.0011
2015-11-20,OG-Ticker,EUR-IRS6M-3Y,MarketValue,-0.00055
2015-11-20,OG-Ticker,EUR-IRS6M-4Y,MarketValue,0.0005
2015-11-20,OG-Ticker,EUR-IRS6M-5Y,MarketValue,0.0018
2015-11-20,OG-Ticker,EUR-IRS6M-7Y,MarketValue,0.0045
2015-11-20,OG-Ticker,EUR-IRS6M-10Y,MarketValue,0.0083
2015-11-20,OG-Ticker,EUR-IRS6M-15Y,MarketValue,0.01225
2015-11-20,OG-Ticker,EUR-IRS6M-20Y,MarketValue,0.014
2015-11-20,OG-Ticker,EUR-IRS6M-30Y,MarketValue,0.01455
,,,,
