Valuation Date,Symbology,Ticker,Field Name,Value
,,,,
2015-11-02,OG-Ticker,USD-OIS-1M,MarketValue,0.0013
2015-11-02,OG-Ticker,USD-OIS-2M,MarketValue,0.0016
2015-11-02,OG-Ticker,USD-OIS-3M,MarketValue,0.002
2015-11-02,OG-Ticker,USD-OIS-6M,MarketValue,0.0026
2015-11-02,OG-Ticker,USD-OIS-9M,MarketValue,0.0033
2015-11-02,OG-Ticker,USD-OIS-1Y,MarketValue,0.0039
2015-11-02,OG-Ticker,USD-OIS-18M,MarketValue,0.0053
2015-11-02,OG-Ticker,USD-OIS-2Y,MarketValue,0.0066
2015-11-02,OG-Ticker,USD-OIS-3Y,MarketValue,0.009
2015-11-02,OG-Ticker,USD-OIS-4Y,MarketValue,0.0111
2015-11-02,OG-Ticker,USD-OIS-5Y,MarketValue,0.0128
2015-11-02,OG-Ticker,USD-OIS-6Y,MarketValue,0.0143
2015-11-02,OG-Ticker,USD-OIS-7Y,MarketValue,0.0156
2015-11-02,OG-Ticker,USD-OIS-8Y,MarketValue,0.0167
2015-11-02,OG-Ticker,USD-OIS-9Y,MarketValue,0.0175
2015-11-02,OG-Ticker,USD-OIS-10Y,MarketValue,0.0183
,,,,
2015-11-02,OG-Ticker,USD-Fixing-3M,MarketValue,0.003341
2015-11-02,OG-Ticker,USD-FRA-3Mx6M,MarketValue,0.0049
2015-11-02,OG-Ticker,USD-FRA-6Mx9M,MarketValue,0.0063
2015-11-02,OG-Ticker,USD-IRS3M-1Y,MarketValue,0.0057
2015-11-02,OG-Ticker,USD-IRS3M-2Y,MarketValue,0.0087
2015-11-02,OG-Ticker,USD-IRS3M-3Y,MarketValue,0.0112
2015-11-02,OG-Ticker,USD-IRS3M-4Y,MarketValue,0.0134
2015-11-02,OG-Ticker,USD-IRS3M-5Y,MarketValue,0.0152
2015-11-02,OG-Ticker,USD-IRS3M-7Y,MarketValue,0.0181
2015-11-02,OG-Ticker,USD-IRS3M-10Y,MarketValue,0.0209
,,,,
2015-11-02,OG-Ticker,EUR-USD-FX-1M,MarketValue,0.0004
2015-11-02,OG-Ticker,EUR-USD-FX-2M,MarketValue,0.0012
2015-11-02,OG-Ticker,EUR-USD-FX-3M,MarketValue,0.0019
2015-11-02,OG-Ticker,EUR-USD-FX-6M,MarketValue,0.0043
2015-11-02,OG-Ticker,EUR-USD-FX-9M,MarketValue,0.0074
2015-11-02,OG-Ticker,EUR-USD-FX-1Y,MarketValue,0.0109
2015-11-02,OG-Ticker,EUR-USD-XCCY-2Y,MarketValue,-0.0034
2015-11-02,OG-Ticker,EUR-USD-XCCY-3Y,MarketValue,-0.0036
2015-11-02,OG-Ticker,EUR-USD-XCCY-4Y,MarketValue,-0.0038
2015-11-02,OG-Ticker,EUR-USD-XCCY-5Y,MarketValue,-0.0039
2015-11-02,OG-Ticker,EUR-USD-XCCY-7Y,MarketValue,-0.004
2015-11-02,OG-Ticker,EUR-USD-XCCY-10Y,MarketValue,-0.0039
,,,,
2015-11-02,OG-Ticker,EUR-Fixing-3M,MarketValue,-0.00066
2015-11-02,OG-Ticker,EUR-FRA-3Mx6M,MarketValue,-0.001
2015-11-02,OG-Ticker,EUR-FRA-6Mx9M,MarketValue,-0.0006
2015-11-02,OG-Ticker,EUR-IRS3M-1Y,MarketValue,-0.0012
2015-11-02,OG-Ticker,EUR-IRS3M-2Y,MarketValue,-0.001
2015-11-02,OG-Ticker,EUR-IRS3M-3Y,MarketValue,-0.0004
2015-11-02,OG-Ticker,EUR-IRS3M-4Y,MarketValue,0.0006
2015-11-02,OG-Ticker,EUR-IRS3M-5Y,MarketValue,0.0019
2015-11-02,OG-Ticker,EUR-IRS3M-7Y,MarketValue,0.0047
2015-11-02,OG-Ticker,EUR-IRS3M-10Y,MarketValue,0.0085
