Valuation Date,Curve Name,Date,Value,Label
,,,,,
2009-07-31,USD-Disc,2009-11-06,0.001763775,3M
2009-07-31,USD-Disc,2010-02-08,0.002187884,6M
2009-07-31,USD-Disc,2010-08-06,0.004437206,1Y
2009-07-31,USD-Disc,2011-08-08,0.011476741,2Y
2009-07-31,USD-Disc,2012-08-08,0.017859057,3Y
2009-07-31,USD-Disc,2014-08-06,0.026257102,5Y
2009-07-31,USD-Disc,2019-08-07,0.035521988,10Y
,,,,,
2009-07-31,USD-3ML,2009-11-04,0.007596889,3M
2009-07-31,USD-3ML,2010-08-04,0.008091541,1Y
2009-07-31,USD-3ML,2011-08-04,0.015244398,2Y
2009-07-31,USD-3ML,2012-08-06,0.021598026,3Y
2009-07-31,USD-3ML,2014-08-05,0.029984216,5Y
2009-07-31,USD-3ML,2019-08-06,0.039245812,10Y
