Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Date,Min Gap,Clash Action,Spread
,,,,,,,,,,,
USD-Disc-CCP2,1M,OG-Ticker,USD-OIS-1M-CCP2,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1M,,,,
USD-Disc-CCP2,2M,OG-Ticker,USD-OIS-2M-CCP2,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,2M,,,,
USD-Disc-CCP2,3M,OG-Ticker,USD-OIS-3M-CCP2,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,3M,,,,
USD-Disc-CCP2,6M,OG-Ticker,USD-OIS-6M-CCP2,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,6M,,,,
USD-Disc-CCP2,9M,OG-Ticker,USD-OIS-9M-CCP2,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,9M,,,,
USD-Disc-CCP2,1Y,OG-Ticker,USD-OIS-1Y-CCP2,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,1Y,,,,
USD-Disc-CCP2,2Y,OG-Ticker,USD-OIS-2Y-CCP2,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,2Y,,,,
USD-Disc-CCP2,3Y,OG-Ticker,USD-OIS-3Y-CCP2,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,3Y,,,,
USD-Disc-CCP2,4Y,OG-Ticker,USD-OIS-4Y-CCP2,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,4Y,,,,
USD-Disc-CCP2,5Y,OG-Ticker,USD-OIS-5Y-CCP2,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,5Y,,,,
USD-Disc-CCP2,6Y,OG-Ticker,USD-OIS-6Y-CCP2,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,6Y,,,,
USD-Disc-CCP2,7Y,OG-Ticker,USD-OIS-7Y-CCP2,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,7Y,,,,
USD-Disc-CCP2,8Y,OG-Ticker,USD-OIS-8Y-CCP2,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,8Y,,,,
USD-Disc-CCP2,9Y,OG-Ticker,USD-OIS-9Y-CCP2,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,9Y,,,,
USD-Disc-CCP2,10Y,OG-Ticker,USD-OIS-10Y-CCP2,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,10Y,,,,
,,,,,,,,,,,
USD-3ML-CCP2,3M,OG-Ticker,USD-Fixing-3M-CCP2,MarketValue,FIX,USD-LIBOR-3M,,,,,
USD-3ML-CCP2,6M,OG-Ticker,USD-FRA-3Mx6M-CCP2,MarketValue,FRA,USD-LIBOR-3M,3Mx6M,,,,
USD-3ML-CCP2,9M,OG-Ticker,USD-FRA-6Mx9M-CCP2,MarketValue,FRA,USD-LIBOR-3M,6Mx9M,,,,
USD-3ML-CCP2,1Y,OG-Ticker,USD-IRS3M-1Y-CCP2,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,1Y,,,,
USD-3ML-CCP2,2Y,OG-Ticker,USD-IRS3M-2Y-CCP2,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,2Y,,,,
USD-3ML-CCP2,3Y,OG-Ticker,USD-IRS3M-3Y-CCP2,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,3Y,,,,
USD-3ML-CCP2,4Y,OG-Ticker,USD-IRS3M-4Y-CCP2,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,4Y,,,,
USD-3ML-CCP2,5Y,OG-Ticker,USD-IRS3M-5Y-CCP2,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,5Y,,,,
USD-3ML-CCP2,7Y,OG-Ticker,USD-IRS3M-7Y-CCP2,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,7Y,,,,
USD-3ML-CCP2,10Y,OG-Ticker,USD-IRS3M-10Y-CCP2,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,10Y,,,,
USD-3ML-CCP2,12Y,OG-Ticker,USD-IRS3M-12Y-CCP2,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,12Y,,,,
USD-3ML-CCP2,15Y,OG-Ticker,USD-IRS3M-15Y-CCP2,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,15Y,,,,
USD-3ML-CCP2,20Y,OG-Ticker,USD-IRS3M-20Y-CCP2,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,20Y,,,,
USD-3ML-CCP2,25Y,OG-Ticker,USD-IRS3M-25Y-CCP2,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,25Y,,,,
USD-3ML-CCP2,30Y,OG-Ticker,USD-IRS3M-30Y-CCP2,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,30Y,,,,
