Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Date,Min Gap,Clash Action,Spread
,,,,,,,,,,,
USD-Disc,1M,OG-Ticker,USD-OIS-1M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,1M,,,,
USD-Disc,2M,OG-Ticker,USD-OIS-2M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,2M,,,,
USD-Disc,3M,OG-Ticker,USD-OIS-3M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,3M,,,,
USD-Disc,6M,OG-Ticker,USD-OIS-6M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,6M,,,,
USD-Disc,9M,OG-Ticker,USD-OIS-9M,MarketValue,OIS,USD-FIXED-TERM-FED-FUND-OIS,9M,,,,
USD-Disc,1Y,OG-Ticker,USD-OIS-1Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,1Y,,,,
USD-Disc,2Y,OG-Ticker,USD-OIS-2Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,2Y,,,,
USD-Disc,3Y,OG-Ticker,USD-OIS-3Y,MarketValue,OIS,USD-FIXED-1Y-FED-FUND-OIS,3Y,,,,
USD-Disc,4Y,OG-Ticker,USD-FFS-4Y,MarketValue,ONI,USD-FED-FUND-AA-LIBOR-3M,4Y,,,,
USD-Disc,5Y,OG-Ticker,USD-FFS-5Y,MarketValue,ONI,USD-FED-FUND-AA-LIBOR-3M,5Y,,,,
USD-Disc,6Y,OG-Ticker,USD-FFS-6Y,MarketValue,ONI,USD-FED-FUND-AA-LIBOR-3M,6Y,,,,
USD-Disc,7Y,OG-Ticker,USD-FFS-7Y,MarketValue,ONI,USD-FED-FUND-AA-LIBOR-3M,7Y,,,,
USD-Disc,8Y,OG-Ticker,USD-FFS-8Y,MarketValue,ONI,USD-FED-FUND-AA-LIBOR-3M,8Y,,,,
USD-Disc,9Y,OG-Ticker,USD-FFS-9Y,MarketValue,ONI,USD-FED-FUND-AA-LIBOR-3M,9Y,,,,
USD-Disc,10Y,OG-Ticker,USD-FFS-10Y,MarketValue,ONI,USD-FED-FUND-AA-LIBOR-3M,10Y,,,,
USD-Disc,12Y,OG-Ticker,USD-FFS-12Y,MarketValue,ONI,USD-FED-FUND-AA-LIBOR-3M,12Y,,,,
USD-Disc,15Y,OG-Ticker,USD-FFS-15Y,MarketValue,ONI,USD-FED-FUND-AA-LIBOR-3M,15Y,,,,
USD-Disc,20Y,OG-Ticker,USD-FFS-20Y,MarketValue,ONI,USD-FED-FUND-AA-LIBOR-3M,20Y,,,,
USD-Disc,25Y,OG-Ticker,USD-FFS-25Y,MarketValue,ONI,USD-FED-FUND-AA-LIBOR-3M,25Y,,,,
USD-Disc,30Y,OG-Ticker,USD-FFS-30Y,MarketValue,ONI,USD-FED-FUND-AA-LIBOR-3M,30Y,,,,
,,,,,,,,,,,
USD-3ML,3M,OG-Ticker,USD-Fixing-3M,MarketValue,FIX,USD-LIBOR-3M,,,,,
USD-3ML,6M,OG-Ticker,USD-FRA-3Mx6M,MarketValue,FRA,USD-LIBOR-3M,3Mx6M,,,,
USD-3ML,9M,OG-Ticker,USD-FRA-6Mx9M,MarketValue,FRA,USD-LIBOR-3M,6Mx9M,,,,
USD-3ML,1Y,OG-Ticker,USD-IRS3M-1Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,1Y,,,,
USD-3ML,2Y,OG-Ticker,USD-IRS3M-2Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,2Y,,,,
USD-3ML,3Y,OG-Ticker,USD-IRS3M-3Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,3Y,,,,
USD-3ML,4Y,OG-Ticker,USD-IRS3M-4Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,4Y,,,,
USD-3ML,5Y,OG-Ticker,USD-IRS3M-5Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,5Y,,,,
USD-3ML,7Y,OG-Ticker,USD-IRS3M-7Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,7Y,,,,
USD-3ML,10Y,OG-Ticker,USD-IRS3M-10Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,10Y,,,,
USD-3ML,12Y,OG-Ticker,USD-IRS3M-12Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,12Y,,,,
USD-3ML,15Y,OG-Ticker,USD-IRS3M-15Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,15Y,,,,
USD-3ML,20Y,OG-Ticker,USD-IRS3M-20Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,20Y,,,,
USD-3ML,25Y,OG-Ticker,USD-IRS3M-25Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,25Y,,,,
USD-3ML,30Y,OG-Ticker,USD-IRS3M-30Y,MarketValue,IRS,USD-FIXED-6M-LIBOR-3M,30Y,,,,
