Valuation Date,Symbology,Ticker,Field Name,Value
,,,,
2015-07-21,OG-Ticker,USD-OIS-1M-CCP2,MarketValue,0.00072
2015-07-21,OG-Ticker,USD-OIS-2M-CCP2,MarketValue,0.00082
2015-07-21,OG-Ticker,USD-OIS-3M-CCP2,MarketValue,0.00093
2015-07-21,OG-Ticker,USD-OIS-6M-CCP2,MarketValue,0.0009
2015-07-21,OG-Ticker,USD-OIS-9M-CCP2,MarketValue,0.00105
2015-07-21,OG-Ticker,USD-OIS-1Y-CCP2,MarketValue,0.001185
2015-07-21,OG-Ticker,USD-OIS-2Y-CCP2,MarketValue,0.0031865
2015-07-21,OG-Ticker,USD-OIS-3Y-CCP2,MarketValue,0.00704
2015-07-21,OG-Ticker,USD-OIS-4Y-CCP2,MarketValue,0.011215
2015-07-21,OG-Ticker,USD-OIS-5Y-CCP2,MarketValue,0.01515
2015-07-21,OG-Ticker,USD-OIS-6Y-CCP2,MarketValue,0.018455
2015-07-21,OG-Ticker,USD-OIS-7Y-CCP2,MarketValue,0.02111
2015-07-21,OG-Ticker,USD-OIS-8Y-CCP2,MarketValue,0.02332
2015-07-21,OG-Ticker,USD-OIS-9Y-CCP2,MarketValue,0.025135
2015-07-21,OG-Ticker,USD-OIS-10Y-CCP2,MarketValue,0.026685
2015-07-21,OG-Ticker,USD-Fixing-3M-CCP2,MarketValue,0.002366
2015-07-21,OG-Ticker,USD-FRA-3Mx6M-CCP2,MarketValue,0.0025825
2015-07-21,OG-Ticker,USD-FRA-6Mx9M-CCP2,MarketValue,0.0029605
2015-07-21,OG-Ticker,USD-IRS3M-1Y-CCP2,MarketValue,0.002943
2015-07-21,OG-Ticker,USD-IRS3M-2Y-CCP2,MarketValue,0.00505
2015-07-21,OG-Ticker,USD-IRS3M-3Y-CCP2,MarketValue,0.0094415
2015-07-21,OG-Ticker,USD-IRS3M-4Y-CCP2,MarketValue,0.013908
2015-07-21,OG-Ticker,USD-IRS3M-5Y-CCP2,MarketValue,0.01745
2015-07-21,OG-Ticker,USD-IRS3M-7Y-CCP2,MarketValue,0.024162
2015-07-21,OG-Ticker,USD-IRS3M-10Y-CCP2,MarketValue,0.02954
2015-07-21,OG-Ticker,USD-IRS3M-12Y-CCP2,MarketValue,0.0322
2015-07-21,OG-Ticker,USD-IRS3M-15Y-CCP2,MarketValue,0.034505
2015-07-21,OG-Ticker,USD-IRS3M-20Y-CCP2,MarketValue,0.036445
2015-07-21,OG-Ticker,USD-IRS3M-25Y-CCP2,MarketValue,0.0369895
2015-07-21,OG-Ticker,USD-IRS3M-30Y-CCP2,MarketValue,0.037675
