Reference,Date,Value
USD-FED-FUND,1962-02-06,0.0275
USD-FED-FUND,1962-02-07,0.0275
USD-FED-FUND,1962-02-08,0.0275
USD-FED-FUND,1962-02-09,0.0275
USD-FED-FUND,1962-02-10,0.0275
USD-FED-FUND,1962-02-11,0.0275
USD-FED-FUND,1962-02-12,0.0275
USD-FED-FUND,1962-02-13,0.0175
USD-FED-FUND,1962-02-14,0.0275
USD-FED-FUND,1962-02-15,0.0275
USD-FED-FUND,1962-02-16,0.025
USD-FED-FUND,1962-02-17,0.025
USD-FED-FUND,1962-02-18,0.025
USD-FED-FUND,1962-02-19,0.025
USD-FED-FUND,1962-02-20,0.0175
USD-FED-FUND,1962-02-21,0.02
USD-FED-FUND,1962-02-22,0.02
USD-FED-FUND,1962-02-23,0.025
USD-FED-FUND,1962-02-24,0.025
USD-FED-FUND,1962-02-25,0.025
USD-FED-FUND,1962-02-26,0.025
USD-FED-FUND,1962-02-27,0.025
USD-FED-FUND,1962-02-28,0.0275
USD-FED-FUND,1962-03-01,0.025
USD-FED-FUND,1962-03-02,0.0275
USD-FED-FUND,1962-03-03,0.0275
USD-FED-FUND,1962-03-04,0.0275
USD-FED-FUND,1962-03-05,0.0275
USD-FED-FUND,1962-03-06,0.0275
USD-FED-FUND,1962-03-07,0.03
USD-FED-FUND,1962-03-08,0.0275
USD-FED-FUND,1962-03-09,0.03
USD-FED-FUND,1962-03-10,0.03
USD-FED-FUND,1962-03-11,0.03
USD-FED-FUND,1962-03-12,0.03
USD-FED-FUND,1962-03-13,0.0275
USD-FED-FUND,1962-03-14,0.0275
USD-FED-FUND,1962-03-15,0.0275
USD-FED-FUND,1962-03-16,0.0275
USD-FED-FUND,1962-03-17,0.0275
USD-FED-FUND,1962-03-18,0.0275
USD-FED-FUND,1962-03-19,0.03
USD-FED-FUND,1962-03-20,0.0275
USD-FED-FUND,1962-03-21,0.03
USD-FED-FUND,1962-03-22,0.03
USD-FED-FUND,1962-03-23,0.03
USD-FED-FUND,1962-03-24,0.03
USD-FED-FUND,1962-03-25,0.03
USD-FED-FUND,1962-03-26,0.03
USD-FED-FUND,1962-03-27,0.0275
USD-FED-FUND,1962-03-28,0.03
USD-FED-FUND,1962-03-29,0.03
USD-FED-FUND,1962-03-30,0.0275
USD-FED-FUND,1962-03-31,0.0275
USD-FED-FUND,1962-04-01,0.0275
USD-FED-FUND,1962-04-02,0.0275
USD-FED-FUND,1962-04-03,0.0275
USD-FED-FUND,1962-04-04,0.0225
USD-FED-FUND,1962-04-05,0.0275
USD-FED-FUND,1962-04-06,0.0275
USD-FED-FUND,1962-04-07,0.0275
USD-FED-FUND,1962-04-08,0.0275
USD-FED-FUND,1962-04-09,0.0275
