Reference,Date,Value
USD-LIBOR-3M,1971-01-04,0.065
USD-LIBOR-3M,1971-01-05,0.0638
USD-LIBOR-3M,1971-01-06,0.0638
USD-LIBOR-3M,1971-01-07,0.0625
USD-LIBOR-3M,1971-01-08,0.0613
USD-LIBOR-3M,1971-01-11,0.0619
USD-LIBOR-3M,1971-01-12,0.0606
USD-LIBOR-3M,1971-01-13,0.0606
USD-LIBOR-3M,1971-01-14,0.0606
USD-LIBOR-3M,1971-01-15,0.06
USD-LIBOR-3M,1971-01-18,0.0594
USD-LIBOR-3M,1971-01-19,0.0563
USD-LIBOR-3M,1971-01-20,0.0544
USD-LIBOR-3M,1971-01-21,0.055
USD-LIBOR-3M,1971-01-22,0.0563
USD-LIBOR-3M,1971-01-25,0.0563
USD-LIBOR-3M,1971-01-26,0.0556
USD-LIBOR-3M,1971-01-27,0.0563
USD-LIBOR-3M,1971-01-28,0.0563
USD-LIBOR-3M,1971-01-29,0.0581
USD-LIBOR-3M,1971-02-01,0.0581
USD-LIBOR-3M,1971-02-02,0.0594
USD-LIBOR-3M,1971-02-03,0.0588
USD-LIBOR-3M,1971-02-04,0.0588
USD-LIBOR-3M,1971-02-05,0.0588
USD-LIBOR-3M,1971-02-08,0.0588
USD-LIBOR-3M,1971-02-09,0.0559
USD-LIBOR-3M,1971-02-10,0.0556
USD-LIBOR-3M,1971-02-11,0.055
USD-LIBOR-3M,1971-02-16,0.0525
USD-LIBOR-3M,1971-02-17,0.0544
USD-LIBOR-3M,1971-02-18,0.055
USD-LIBOR-3M,1971-02-19,0.0544
USD-LIBOR-3M,1971-02-22,0.0519
USD-LIBOR-3M,1971-02-23,0.0513
USD-LIBOR-3M,1971-02-24,0.0519
USD-LIBOR-3M,1971-02-25,0.0519
USD-LIBOR-3M,1971-02-26,0.0544
USD-LIBOR-3M,1971-03-01,0.0525
USD-LIBOR-3M,1971-03-02,0.0519
USD-LIBOR-3M,1971-03-03,0.05
USD-LIBOR-3M,1971-03-04,0.0506
USD-LIBOR-3M,1971-03-05,0.05
USD-LIBOR-3M,1971-03-08,0.05
USD-LIBOR-3M,1971-03-09,0.0506
USD-LIBOR-3M,1971-03-10,0.0506
USD-LIBOR-3M,1971-03-11,0.0519
USD-LIBOR-3M,1971-03-12,0.0506
USD-LIBOR-3M,1971-03-15,0.0506
USD-LIBOR-3M,1971-03-16,0.0506
USD-LIBOR-3M,1971-03-17,0.0494
USD-LIBOR-3M,1971-03-18,0.0506
USD-LIBOR-3M,1971-03-19,0.0506
USD-LIBOR-3M,1971-03-22,0.05
USD-LIBOR-3M,1971-03-23,0.0506
USD-LIBOR-3M,1971-03-24,0.05
USD-LIBOR-3M,1971-03-25,0.0525
USD-LIBOR-3M,1971-03-26,0.0525
USD-LIBOR-3M,1971-03-29,0.0525
USD-LIBOR-3M,1971-03-30,0.0531
USD-LIBOR-3M,1971-03-31,0.0531
USD-LIBOR-3M,1971-04-01,0.0538
USD-LIBOR-3M,1971-04-02,0.0556
USD-LIBOR-3M,1971-04-05,0.0581
USD-LIBOR-3M,1971-04-06,0.0563
USD-LIBOR-3M,1971-04-07,0.0581
USD-LIBOR-3M,1971-04-08,0.0588
USD-LIBOR-3M,1971-04-13,0.0606
USD-LIBOR-3M,1971-04-14,0.0631
USD-LIBOR-3M,1971-04-15,0.0606
USD-LIBOR-3M,1971-04-16,0.0594
USD-LIBOR-3M,1971-04-19,0.0575
USD-LIBOR-3M,1971-04-20,0.0569
USD-LIBOR-3M,1971-04-21,0.0575
USD-LIBOR-3M,1971-04-22,0.0588
USD-LIBOR-3M,1971-04-23,0.06
USD-LIBOR-3M,1971-04-26,0.06
USD-LIBOR-3M,1971-04-27,0.0619
USD-LIBOR-3M,1971-04-28,0.0606
USD-LIBOR-3M,1971-04-29,0.0625
USD-LIBOR-3M,1971-04-30,0.0631
USD-LIBOR-3M,1971-05-03,0.0631
USD-LIBOR-3M,1971-05-04,0.0638
USD-LIBOR-3M,1971-05-05,0.0681
USD-LIBOR-3M,1971-05-06,0.0763
USD-LIBOR-3M,1971-05-07,0.0738
USD-LIBOR-3M,1971-05-10,0.0725
USD-LIBOR-3M,1971-05-11,0.075
USD-LIBOR-3M,1971-05-12,0.0706
USD-LIBOR-3M,1971-05-13,0.0719
USD-LIBOR-3M,1971-05-14,0.0694
USD-LIBOR-3M,1971-05-17,0.0694
USD-LIBOR-3M,1971-05-18,0.0713
USD-LIBOR-3M,1971-05-19,0.0706
USD-LIBOR-3M,1971-05-20,0.07
USD-LIBOR-3M,1971-05-21,0.0681
USD-LIBOR-3M,1971-05-24,0.0663
USD-LIBOR-3M,1971-05-25,0.0681
USD-LIBOR-3M,1971-05-26,0.0706
USD-LIBOR-3M,1971-05-27,0.0738
USD-LIBOR-3M,1971-05-28,0.075
USD-LIBOR-3M,1971-06-01,0.08
USD-LIBOR-3M,1971-06-02,0.0794
USD-LIBOR-3M,1971-06-03,0.0756
USD-LIBOR-3M,1971-06-04,0.0731
USD-LIBOR-3M,1971-06-07,0.0706
USD-LIBOR-3M,1971-06-08,0.0738
USD-LIBOR-3M,1971-06-09,0.0725
USD-LIBOR-3M,1971-06-10,0.0725
USD-LIBOR-3M,1971-06-11,0.0713
USD-LIBOR-3M,1971-06-14,0.0713
USD-LIBOR-3M,1971-06-15,0.0725
USD-LIBOR-3M,1971-06-16,0.0706
USD-LIBOR-3M,1971-06-17,0.0713
USD-LIBOR-3M,1971-06-18,0.0706
USD-LIBOR-3M,1971-06-21,0.0688
USD-LIBOR-3M,1971-06-22,0.0706
USD-LIBOR-3M,1971-06-23,0.0681
USD-LIBOR-3M,1971-06-24,0.0681
USD-LIBOR-3M,1971-06-25,0.0681
USD-LIBOR-3M,1971-06-28,0.0688
USD-LIBOR-3M,1971-06-29,0.07
USD-LIBOR-3M,1971-06-30,0.065
USD-LIBOR-3M,1971-07-01,0.0669
USD-LIBOR-3M,1971-07-02,0.065
USD-LIBOR-3M,1971-07-06,0.0669
USD-LIBOR-3M,1971-07-07,0.0663
USD-LIBOR-3M,1971-07-08,0.0656
USD-LIBOR-3M,1971-07-09,0.0638
USD-LIBOR-3M,1971-07-12,0.0631
USD-LIBOR-3M,1971-07-13,0.0644
USD-LIBOR-3M,1971-07-14,0.0638
USD-LIBOR-3M,1971-07-15,0.0631
USD-LIBOR-3M,1971-07-16,0.0625
USD-LIBOR-3M,1971-07-19,0.0631
USD-LIBOR-3M,1971-07-20,0.0644
USD-LIBOR-3M,1971-07-21,0.06
USD-LIBOR-3M,1971-07-22,0.0638
USD-LIBOR-3M,1971-07-23,0.0638
USD-LIBOR-3M,1971-07-26,0.0638
USD-LIBOR-3M,1971-07-27,0.0656
USD-LIBOR-3M,1971-07-28,0.0656
USD-LIBOR-3M,1971-07-29,0.0663
USD-LIBOR-3M,1971-07-30,0.0669
USD-LIBOR-3M,1971-08-02,0.0675
USD-LIBOR-3M,1971-08-03,0.0706
USD-LIBOR-3M,1971-08-04,0.0706
USD-LIBOR-3M,1971-08-05,0.0719
USD-LIBOR-3M,1971-08-06,0.0725
USD-LIBOR-3M,1971-08-09,0.0756
USD-LIBOR-3M,1971-08-10,0.0788
USD-LIBOR-3M,1971-08-11,0.0775
USD-LIBOR-3M,1971-08-12,0.0788
USD-LIBOR-3M,1971-08-13,0.0838
USD-LIBOR-3M,1971-08-16,0.09
USD-LIBOR-3M,1971-08-18,0.0925
USD-LIBOR-3M,1971-08-19,0.0863
USD-LIBOR-3M,1971-08-24,0.0844
USD-LIBOR-3M,1971-08-25,0.085
USD-LIBOR-3M,1971-08-27,0.0888
USD-LIBOR-3M,1971-08-31,0.09
USD-LIBOR-3M,1971-09-01,0.095
USD-LIBOR-3M,1971-09-02,0.0913
USD-LIBOR-3M,1971-09-03,0.09
USD-LIBOR-3M,1971-09-07,0.0844
USD-LIBOR-3M,1971-09-08,0.0844
USD-LIBOR-3M,1971-09-09,0.0825
USD-LIBOR-3M,1971-09-10,0.0813
USD-LIBOR-3M,1971-09-13,0.0756
USD-LIBOR-3M,1971-09-14,0.08
USD-LIBOR-3M,1971-09-15,0.085
USD-LIBOR-3M,1971-09-16,0.0838
USD-LIBOR-3M,1971-09-17,0.0819
USD-LIBOR-3M,1971-09-20,0.08
USD-LIBOR-3M,1971-09-21,0.0831
USD-LIBOR-3M,1971-09-22,0.0819
USD-LIBOR-3M,1971-09-23,0.0806
USD-LIBOR-3M,1971-09-24,0.085
USD-LIBOR-3M,1971-09-27,0.0856
USD-LIBOR-3M,1971-09-28,0.0825
USD-LIBOR-3M,1971-09-29,0.0769
USD-LIBOR-3M,1971-09-30,0.0769
USD-LIBOR-3M,1971-10-01,0.0738
USD-LIBOR-3M,1971-10-04,0.0731
USD-LIBOR-3M,1971-10-05,0.0719
USD-LIBOR-3M,1971-10-06,0.0694
USD-LIBOR-3M,1971-10-07,0.0713
USD-LIBOR-3M,1971-10-08,0.0681
USD-LIBOR-3M,1971-10-11,0.0681
USD-LIBOR-3M,1971-10-12,0.0663
USD-LIBOR-3M,1971-10-13,0.0663
USD-LIBOR-3M,1971-10-14,0.0675
USD-LIBOR-3M,1971-10-15,0.065
USD-LIBOR-3M,1971-10-18,0.065
USD-LIBOR-3M,1971-10-19,0.0663
USD-LIBOR-3M,1971-10-20,0.0638
USD-LIBOR-3M,1971-10-21,0.0631
USD-LIBOR-3M,1971-10-22,0.0619
USD-LIBOR-3M,1971-10-26,0.0606
USD-LIBOR-3M,1971-10-27,0.0606
USD-LIBOR-3M,1971-10-28,0.06
USD-LIBOR-3M,1971-10-29,0.06
USD-LIBOR-3M,1971-11-01,0.0594
USD-LIBOR-3M,1971-11-03,0.0594
USD-LIBOR-3M,1971-11-04,0.0613
USD-LIBOR-3M,1971-11-08,0.0594
USD-LIBOR-3M,1971-11-09,0.0594
USD-LIBOR-3M,1971-11-10,0.0581
USD-LIBOR-3M,1971-11-11,0.0588
USD-LIBOR-3M,1971-11-12,0.0588
USD-LIBOR-3M,1971-11-15,0.06
USD-LIBOR-3M,1971-11-16,0.0631
USD-LIBOR-3M,1971-11-17,0.0619
USD-LIBOR-3M,1971-11-18,0.0638
USD-LIBOR-3M,1971-11-19,0.0675
USD-LIBOR-3M,1971-11-22,0.0675
USD-LIBOR-3M,1971-11-23,0.0669
USD-LIBOR-3M,1971-11-24,0.0681
USD-LIBOR-3M,1971-11-26,0.07
USD-LIBOR-3M,1971-11-29,0.0675
USD-LIBOR-3M,1971-11-30,0.065
USD-LIBOR-3M,1971-12-01,0.0638
USD-LIBOR-3M,1971-12-02,0.065
USD-LIBOR-3M,1971-12-03,0.0656
USD-LIBOR-3M,1971-12-06,0.0656
USD-LIBOR-3M,1971-12-07,0.0669
USD-LIBOR-3M,1971-12-08,0.0669
USD-LIBOR-3M,1971-12-09,0.065
USD-LIBOR-3M,1971-12-10,0.065
USD-LIBOR-3M,1971-12-13,0.0644
USD-LIBOR-3M,1971-12-14,0.0644
USD-LIBOR-3M,1971-12-15,0.0644
USD-LIBOR-3M,1971-12-16,0.065
USD-LIBOR-3M,1971-12-17,0.0606
USD-LIBOR-3M,1971-12-20,0.0613
USD-LIBOR-3M,1971-12-21,0.0611
USD-LIBOR-3M,1971-12-22,0.0611
USD-LIBOR-3M,1971-12-24,0.0625
USD-LIBOR-3M,1971-12-28,0.0625
USD-LIBOR-3M,1971-12-29,0.0644
USD-LIBOR-3M,1971-12-30,0.1
USD-LIBOR-3M,1971-12-31,0.1025
USD-LIBOR-3M,1972-01-03,0.055
USD-LIBOR-3M,1972-01-04,0.0568
USD-LIBOR-3M,1972-01-05,0.0563
USD-LIBOR-3M,1972-01-06,0.0556
USD-LIBOR-3M,1972-01-07,0.0563
USD-LIBOR-3M,1972-01-10,0.0563
USD-LIBOR-3M,1972-01-11,0.0556
USD-LIBOR-3M,1972-01-12,0.0544
USD-LIBOR-3M,1972-01-13,0.0556
USD-LIBOR-3M,1972-01-14,0.0569
USD-LIBOR-3M,1972-01-17,0.055
USD-LIBOR-3M,1972-01-18,0.0538
USD-LIBOR-3M,1972-01-20,0.0531
USD-LIBOR-3M,1972-01-21,0.0531
USD-LIBOR-3M,1972-01-24,0.0513
USD-LIBOR-3M,1972-01-25,0.0494
USD-LIBOR-3M,1972-01-26,0.0488
USD-LIBOR-3M,1972-01-27,0.0488
USD-LIBOR-3M,1972-01-28,0.0513
USD-LIBOR-3M,1972-01-31,0.05
USD-LIBOR-3M,1972-02-01,0.05
USD-LIBOR-3M,1972-02-02,0.0488
USD-LIBOR-3M,1972-02-03,0.0525
USD-LIBOR-3M,1972-02-04,0.0519
USD-LIBOR-3M,1972-02-07,0.05
USD-LIBOR-3M,1972-02-08,0.05
USD-LIBOR-3M,1972-02-09,0.05
USD-LIBOR-3M,1972-02-10,0.0506
USD-LIBOR-3M,1972-02-11,0.0506
USD-LIBOR-3M,1972-02-14,0.0506
USD-LIBOR-3M,1972-02-15,0.0506
USD-LIBOR-3M,1972-02-16,0.0494
USD-LIBOR-3M,1972-02-17,0.0506
USD-LIBOR-3M,1972-02-18,0.05
USD-LIBOR-3M,1972-02-22,0.05
USD-LIBOR-3M,1972-02-23,0.05
USD-LIBOR-3M,1972-02-24,0.05
USD-LIBOR-3M,1972-02-25,0.05
USD-LIBOR-3M,1972-02-28,0.05
USD-LIBOR-3M,1972-02-29,0.0494
USD-LIBOR-3M,1972-03-01,0.0481
USD-LIBOR-3M,1972-03-02,0.0475
USD-LIBOR-3M,1972-03-03,0.0469
USD-LIBOR-3M,1972-03-07,0.0463
USD-LIBOR-3M,1972-03-08,0.0463
USD-LIBOR-3M,1972-03-09,0.0506
USD-LIBOR-3M,1972-03-10,0.0563
USD-LIBOR-3M,1972-03-13,0.0525
USD-LIBOR-3M,1972-03-14,0.0513
USD-LIBOR-3M,1972-03-15,0.055
USD-LIBOR-3M,1972-03-16,0.0531
USD-LIBOR-3M,1972-03-17,0.0538
USD-LIBOR-3M,1972-03-20,0.0544
USD-LIBOR-3M,1972-03-21,0.055
USD-LIBOR-3M,1972-03-22,0.055
USD-LIBOR-3M,1972-03-23,0.0556
USD-LIBOR-3M,1972-03-24,0.0569
USD-LIBOR-3M,1972-03-27,0.0594
USD-LIBOR-3M,1972-03-28,0.0569
USD-LIBOR-3M,1972-03-29,0.0556
USD-LIBOR-3M,1972-03-30,0.0556
USD-LIBOR-3M,1972-04-04,0.0538
USD-LIBOR-3M,1972-04-05,0.055
USD-LIBOR-3M,1972-04-06,0.055
USD-LIBOR-3M,1972-04-07,0.0556
USD-LIBOR-3M,1972-04-11,0.0538
USD-LIBOR-3M,1972-04-12,0.055
USD-LIBOR-3M,1972-04-13,0.055
USD-LIBOR-3M,1972-04-14,0.0556
USD-LIBOR-3M,1972-04-17,0.0531
USD-LIBOR-3M,1972-04-18,0.0531
USD-LIBOR-3M,1972-04-19,0.0425
USD-LIBOR-3M,1972-04-20,0.0525
USD-LIBOR-3M,1972-04-21,0.0519
USD-LIBOR-3M,1972-04-24,0.0506
USD-LIBOR-3M,1972-04-25,0.0494
USD-LIBOR-3M,1972-04-26,0.05
USD-LIBOR-3M,1972-04-27,0.0513
USD-LIBOR-3M,1972-04-28,0.05
USD-LIBOR-3M,1972-05-01,0.0494
USD-LIBOR-3M,1972-05-02,0.0506
USD-LIBOR-3M,1972-05-03,0.0494
USD-LIBOR-3M,1972-05-04,0.05
USD-LIBOR-3M,1972-05-05,0.0494
USD-LIBOR-3M,1972-05-08,0.0488
USD-LIBOR-3M,1972-05-09,0.0494
USD-LIBOR-3M,1972-05-10,0.0488
USD-LIBOR-3M,1972-05-11,0.0494
USD-LIBOR-3M,1972-05-12,0.0494
USD-LIBOR-3M,1972-05-15,0.0488
USD-LIBOR-3M,1972-05-16,0.0494
USD-LIBOR-3M,1972-05-17,0.0469
USD-LIBOR-3M,1972-05-18,0.0475
USD-LIBOR-3M,1972-05-19,0.0481
USD-LIBOR-3M,1972-05-22,0.0475
USD-LIBOR-3M,1972-05-23,0.0481
USD-LIBOR-3M,1972-05-24,0.0475
USD-LIBOR-3M,1972-05-25,0.0481
USD-LIBOR-3M,1972-05-26,0.0481
USD-LIBOR-3M,1972-05-30,0.0475
USD-LIBOR-3M,1972-05-31,0.0462
USD-LIBOR-3M,1972-06-01,0.0469
USD-LIBOR-3M,1972-06-02,0.0469
USD-LIBOR-3M,1972-06-05,0.0481
USD-LIBOR-3M,1972-06-06,0.0488
USD-LIBOR-3M,1972-06-07,0.0481
USD-LIBOR-3M,1972-06-08,0.0475
USD-LIBOR-3M,1972-06-09,0.0481
USD-LIBOR-3M,1972-06-12,0.0475
USD-LIBOR-3M,1972-06-13,0.0488
USD-LIBOR-3M,1972-06-14,0.0475
USD-LIBOR-3M,1972-06-15,0.0475
USD-LIBOR-3M,1972-06-16,0.0488
USD-LIBOR-3M,1972-06-19,0.0481
USD-LIBOR-3M,1972-06-20,0.0481
USD-LIBOR-3M,1972-06-21,0.0506
USD-LIBOR-3M,1972-06-22,0.0544
USD-LIBOR-3M,1972-06-23,0.06
USD-LIBOR-3M,1972-06-26,0.0594
USD-LIBOR-3M,1972-06-27,0.0575
USD-LIBOR-3M,1972-06-28,0.0563
USD-LIBOR-3M,1972-06-29,0.0525
USD-LIBOR-3M,1972-06-30,0.0525
USD-LIBOR-3M,1972-07-03,0.0525
USD-LIBOR-3M,1972-07-05,0.0556
USD-LIBOR-3M,1972-07-06,0.0556
USD-LIBOR-3M,1972-07-07,0.0544
USD-LIBOR-3M,1972-07-10,0.0544
USD-LIBOR-3M,1972-07-11,0.055
USD-LIBOR-3M,1972-07-12,0.0531
USD-LIBOR-3M,1972-07-13,0.055
USD-LIBOR-3M,1972-07-14,0.0569
USD-LIBOR-3M,1972-07-17,0.0575
USD-LIBOR-3M,1972-07-18,0.0594
USD-LIBOR-3M,1972-07-19,0.0563
USD-LIBOR-3M,1972-07-20,0.0556
USD-LIBOR-3M,1972-07-21,0.0569
USD-LIBOR-3M,1972-07-24,0.0569
USD-LIBOR-3M,1972-07-25,0.0563
USD-LIBOR-3M,1972-07-26,0.0544
USD-LIBOR-3M,1972-07-28,0.0569
USD-LIBOR-3M,1972-07-31,0.0563
USD-LIBOR-3M,1972-08-01,0.0563
USD-LIBOR-3M,1972-08-02,0.0544
USD-LIBOR-3M,1972-08-03,0.0556
USD-LIBOR-3M,1972-08-04,0.0538
USD-LIBOR-3M,1972-08-07,0.0538
USD-LIBOR-3M,1972-08-08,0.0531
USD-LIBOR-3M,1972-08-09,0.0525
USD-LIBOR-3M,1972-08-10,0.0556
USD-LIBOR-3M,1972-08-11,0.0544
USD-LIBOR-3M,1972-08-14,0.0544
USD-LIBOR-3M,1972-08-15,0.0556
USD-LIBOR-3M,1972-08-16,0.055
USD-LIBOR-3M,1972-08-17,0.055
USD-LIBOR-3M,1972-08-18,0.055
USD-LIBOR-3M,1972-08-21,0.0556
USD-LIBOR-3M,1972-08-22,0.055
USD-LIBOR-3M,1972-08-23,0.0544
USD-LIBOR-3M,1972-08-24,0.0544
USD-LIBOR-3M,1972-08-25,0.0544
USD-LIBOR-3M,1972-08-29,0.055
USD-LIBOR-3M,1972-08-30,0.0538
USD-LIBOR-3M,1972-08-31,0.0538
USD-LIBOR-3M,1972-09-01,0.055
USD-LIBOR-3M,1972-09-05,0.055
USD-LIBOR-3M,1972-09-06,0.0556
USD-LIBOR-3M,1972-09-08,0.0556
USD-LIBOR-3M,1972-09-11,0.055
USD-LIBOR-3M,1972-09-12,0.0543
USD-LIBOR-3M,1972-09-13,0.0538
USD-LIBOR-3M,1972-09-14,0.0538
USD-LIBOR-3M,1972-09-15,0.0538
USD-LIBOR-3M,1972-09-18,0.0531
USD-LIBOR-3M,1972-09-19,0.0531
USD-LIBOR-3M,1972-09-20,0.0531
USD-LIBOR-3M,1972-09-21,0.0531
USD-LIBOR-3M,1972-09-22,0.0513
USD-LIBOR-3M,1972-09-25,0.0531
USD-LIBOR-3M,1972-09-26,0.0538
USD-LIBOR-3M,1972-09-27,0.0538
USD-LIBOR-3M,1972-09-28,0.0594
USD-LIBOR-3M,1972-10-02,0.0588
USD-LIBOR-3M,1972-10-03,0.0606
USD-LIBOR-3M,1972-10-04,0.0588
USD-LIBOR-3M,1972-10-05,0.0613
USD-LIBOR-3M,1972-10-06,0.06
USD-LIBOR-3M,1972-10-10,0.0613
USD-LIBOR-3M,1972-10-11,0.0594
USD-LIBOR-3M,1972-10-12,0.06
USD-LIBOR-3M,1972-10-13,0.06
USD-LIBOR-3M,1972-10-16,0.06
USD-LIBOR-3M,1972-10-18,0.0588
USD-LIBOR-3M,1972-10-19,0.0606
USD-LIBOR-3M,1972-10-24,0.0606
USD-LIBOR-3M,1972-10-25,0.0588
USD-LIBOR-3M,1972-10-26,0.0594
USD-LIBOR-3M,1972-10-27,0.0594
USD-LIBOR-3M,1972-10-30,0.0594
USD-LIBOR-3M,1972-10-31,0.06
USD-LIBOR-3M,1972-11-01,0.0581
USD-LIBOR-3M,1972-11-02,0.0594
USD-LIBOR-3M,1972-11-03,0.0588
USD-LIBOR-3M,1972-11-06,0.0588
USD-LIBOR-3M,1972-11-07,0.055
USD-LIBOR-3M,1972-11-08,0.0569
USD-LIBOR-3M,1972-11-09,0.0581
USD-LIBOR-3M,1972-11-10,0.0581
USD-LIBOR-3M,1972-11-13,0.0581
USD-LIBOR-3M,1972-11-14,0.0594
USD-LIBOR-3M,1972-11-15,0.0569
USD-LIBOR-3M,1972-11-16,0.0581
